Full_ID,Tower,Level,Zone,SOW,Column_ID,fwk_pc13,rebar_pc13,concrete_pc13,Category,fwk_pc14,rebar_pc14,concrete_pc14
T4-L1-Z7-C7,T4,L1,Z7,2,C7,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C8,T4,L1,Z7,2,C8,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C9,T4,L1,Z7,2,C9,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C10,T4,L1,Z7,2,C10,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C11,T4,L1,Z7,2,C11,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C12,T4,L1,Z7,2,C12,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C13,T4,L1,Z7,2,C13,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C14,T4,L1,Z7,2,C14,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z7-C15,T4,L1,Z7,2,C15,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C1,T4,L1,Z8,5,C1,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C2,T4,L1,Z8,5,C2,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C3,T4,L1,Z8,5,C3,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C4,T4,L1,Z8,5,C4,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C5,T4,L1,Z8,5,C5,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C6,T4,L1,Z8,5,C6,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C7,T4,L1,Z8,5,C7,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C8,T4,L1,Z8,5,C8,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C9,T4,L1,Z8,5,C9,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C10,T4,L1,Z8,5,C10,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C11,T4,L1,Z8,5,C11,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C12,T4,L1,Z8,5,C12,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C13,T4,L1,Z8,5,C13,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z8-C14,T4,L1,Z8,5,C14,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z9-C1,T4,L1,Z9,5,C1,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z9-C2,T4,L1,Z9,5,C2,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z9-C3,T4,L1,Z9,5,C3,100%,100%,100%,Column,100%,100%,100%
T4-L1-Z9-C4,T4,L1,Z9,5,C4,100%,100%,100%,Column,100%,100%,100%
